FER: [0.3435245620061834], Date: 2025-07-24 23:04:12.474851
FER: [0.0884016973125884], Date: 2025-07-25 07:30:10.680244
FER: [0.04106776180698152], Date: 2025-07-25 20:32:15.255704
FER: [0.3333333333333333], Date: 2025-08-11 11:54:25.235301
FER: [0.625], Date: 2025-08-11 11:57:28.937515
FER: [0.5263157894736842], Date: 2025-08-11 12:00:48.493696
FER: [0.02702702702702703], Date: 2025-08-11 12:03:53.463432
FER: [0.3333333333333333], Date: 2025-08-11 12:04:04.215758
FER: [0.6451612903225806], Date: 2025-08-11 12:09:45.789982
FER: [0.47619047619047616], Date: 2025-08-11 12:14:00.396206
FER: [0.35714285714285715], Date: 2025-08-11 12:19:55.922268
FER: [0.5376344086021505], Date: 2025-08-11 12:58:09.941597
FER: [0.1724137931034483], Date: 2025-08-11 13:11:59.500114
FER: [0.10416666666666667], Date: 2025-08-11 13:18:01.670182
FER: [0.04065040650406504], Date: 2025-08-11 13:35:45.613725
FER: [1.0], Date: 2025-08-11 13:47:00.997824
FER: [0.02912621359223301], Date: 2025-08-11 13:52:44.757086
FER: [0.5], Date: 2025-08-14 18:11:36.374754
FER: [0.5], Date: 2025-08-14 18:12:53.151289
FER: [0.1733102253032929], Date: 2025-08-15 00:38:58.025210
FER: [1.0], Date: 2025-08-18 08:58:55.278837
FER: [1.0], Date: 2025-08-18 09:07:02.722092
